id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1572571355316363267,1572571355316363267,2022-09-21 13:00:02 UTC,2022-09-21,13:00:02,+0000,1499967488440029184,whongfelicia,Felicia Austin,,Setuju banget dengan adanya RUU PDP yang akan disahkan agar mencegah kebocoran data seperti sebelumnya dan tidak ada tangisan akibat pinjol dan doxing Puan Lindungi Datapribadi  https://t.co/P0yonJlBBG  https://t.co/GPJ9srEI4L,in,[],['https://news.detik.com/berita/d-6303363/sahkan-uu-pdp-kinerja-dpr-di-bawah-kepemimpinan-puan-diapresiasi'],['https://pbs.twimg.com/media/FdLHo-IaAAIuGz7.jpg'],0,0,0,[],[],https://twitter.com/WhongFelicia/status/1572571355316363267,False,,1,https://pbs.twimg.com/media/FdLHo-IaAAIuGz7.jpg,,,,,,,[],,,,
1572571354439688192,1572571354439688192,2022-09-21 13:00:02 UTC,2022-09-21,13:00:02,+0000,1499967488440029184,whongfelicia,Felicia Austin,,Setuju banget dengan adanya RUU PDP yang akan disahkan agar mencegah kebocoran data seperti sebelumnya dan tidak ada tangisan akibat pinjol dan doxing Puan Lindungi Datapribadi  https://t.co/P0yonJ40d6  https://t.co/U3rA71svbx,in,[],['https://news.detik.com/berita/d-6303363/sahkan-uu-pdp-kinerja-dpr-di-bawah-kepemimpinan-puan-diapresiasi'],['https://pbs.twimg.com/media/FdLHo-IaAAIuGz7.jpg'],0,0,0,[],[],https://twitter.com/WhongFelicia/status/1572571354439688192,False,,1,https://pbs.twimg.com/media/FdLHo-IaAAIuGz7.jpg,,,,,,,[],,,,
1572571353919594496,1572571353919594496,2022-09-21 13:00:02 UTC,2022-09-21,13:00:02,+0000,1568715434542653442,alainalaiwa,Alaina,,"Dengan demikian, tidak ada lagi tangisan rakyat akibat pinjaman daring yang tidak mereka minta, atau doxing yang membuat meresahkan warga Puan Lindungi Datapribadi  https://t.co/yhCn8gLbJN",in,[],[],['https://pbs.twimg.com/media/FdLZjG4aIAY8oXJ.jpg'],0,0,0,[],[],https://twitter.com/AlainaLaiwa/status/1572571353919594496,False,,1,https://pbs.twimg.com/media/FdLZjG4aIAY8oXJ.jpg,,,,,,,[],,,,
1572571352090877952,1572571352090877952,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1568319497689337859,tania35961664,Tania,,semoga perlindungan data pribadi warga melalui RUU PDP akan melindungi kita dari doxing yang meresahkan. Kita semua tentunya ingin data pribadi aman  Puan Lindungi Datapribadi  https://t.co/uAoUI2dUVa  https://t.co/UPjPpJmlQg,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLQJXQagAQH5oz.jpg'],0,0,0,[],[],https://twitter.com/Tania35961664/status/1572571352090877952,False,,1,https://pbs.twimg.com/media/FdLQJXQagAQH5oz.jpg,,,,,,,[],,,,
1572571351994466304,1572571351994466304,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1034675792188338176,bloveacc,nd•,,Moga aja perlindungan data pribadi masyarakat Indonesia lewat RUU PDP akan melindungi kita dari doxing yang meresahkan. Puan Lindungi Datapribadi  https://t.co/ElXAPwPrEm  https://t.co/UvCGB2r3hp,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLZgXvakAEqozS.jpg'],0,0,0,[],[],https://twitter.com/bloveacc/status/1572571351994466304,False,,1,https://pbs.twimg.com/media/FdLZgXvakAEqozS.jpg,,,,,,,[],,,,
1572571351973474304,1572571351973474304,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1570805916320288769,wellatrisna,Wella Trisna,,semoga perlindungan data pribadi warga melalui RUU PDP akan melindungi kita dari doxing yang meresahkan. Smoga masyarakat pintar dalam menanggapi soal penipuan yg kemungkinan terjadi. Puan Lindungi Datapribadi  https://t.co/B4T9SA0VjY  https://t.co/8RbjN0n6bj,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLPnEMacAAkSdL.jpg'],0,0,0,[],[],https://twitter.com/WellaTrisna/status/1572571351973474304,False,,1,https://pbs.twimg.com/media/FdLPnEMacAAkSdL.jpg,,,,,,,[],,,,
1572571351851859970,1572571351851859970,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1568715791679344642,rietahendri,Henrietta,,"Dengan adanya RUU PDP tidak ada lagi tangisan rakyat akibat pinjaman daring yang tidak mereka minta, atau doxing yang membuat meresahkan warga Puan Lindungi Datapribadi  https://t.co/h09VQiYQSN",in,[],[],['https://pbs.twimg.com/media/FdLZjG4aIAY8oXJ.jpg'],0,0,0,[],[],https://twitter.com/Rietahendri/status/1572571351851859970,False,,1,https://pbs.twimg.com/media/FdLZjG4aIAY8oXJ.jpg,,,,,,,[],,,,
1572571351675654144,1572571351675654144,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1403033708701970432,pop3y3_olive,PopeyeOlive,,"RUU PDP disahkan hari ini, Puan Maharani mengatakan tak ada lagi tangisan rakyat akibat pinjol atau doxing. Puan Lindungi Datapribadi  https://t.co/WCacNmW2Zh",in,[],[],['https://pbs.twimg.com/media/FdLc8ssaUAEahsR.jpg'],0,0,0,[],[],https://twitter.com/pop3y3_olive/status/1572571351675654144,False,,1,https://pbs.twimg.com/media/FdLc8ssaUAEahsR.jpg,,,,,,,[],,,,
1572571348668481536,1572571348668481536,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1488327822834036740,gitaarumi,Gita Arumi,,semoga perlindungan data pribadi warga melalui RUU PDP bisa untuk melindungi kita dari doxing yang meresahkan masyarakat. Puan Lindungi Datapribadi  https://t.co/JzfpSuBQ19  https://t.co/SCNoO20off,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLFvBNaEAgM1T5.jpg'],0,0,0,[],[],https://twitter.com/GitaArumi/status/1572571348668481536,False,,1,https://pbs.twimg.com/media/FdLFvBNaEAgM1T5.jpg,,,,,,,[],,,,
1572571348479590400,1572571348479590400,2022-09-21 13:00:01 UTC,2022-09-21,13:00:01,+0000,1379331515243393025,juan92410252,Juan,,"Tak ada lagi tangisan rakyat akibat pinjol atau Doxing, berkat adanya RUU PDP ini  Puan Lindungi Datapribadi  https://t.co/o5Ur6uTl2w",in,[],[],['https://pbs.twimg.com/media/FdLQxFNaEAI087A.jpg'],0,0,0,[],[],https://twitter.com/Juan92410252/status/1572571348479590400,False,,1,https://pbs.twimg.com/media/FdLQxFNaEAI087A.jpg,,,,,,,[],,,,
1572571347179511812,1572571347179511812,2022-09-21 13:00:00 UTC,2022-09-21,13:00:00,+0000,1498297961180131331,redhumanboy,Redhumanboy,,Tak ada lagi tangisan rakyat akibat pinjol atau doxing. Puan Lindungi Datapribadi  https://t.co/cqJCnfKKIB,in,[],[],['https://pbs.twimg.com/media/FdLXqCGacAAcQXX.jpg'],0,0,0,[],[],https://twitter.com/redhumanboy/status/1572571347179511812,False,,1,https://pbs.twimg.com/media/FdLXqCGacAAcQXX.jpg,,,,,,,[],,,,
1572571346223104000,1572571346223104000,2022-09-21 13:00:00 UTC,2022-09-21,13:00:00,+0000,1548575474003353601,tasyamarcelline,Tasya Marcelline,,semoga perlindungan data pribadi warga melalui RUU PDP akan melindungi kita dari doxing yang meresahkan. Puan Lindungi Datapribadi  https://t.co/iKYLNIuQ3C  https://t.co/eXxABzFYXx,in,[],['https://www.jpnn.com/news/ruu-pdp-disahkan-dpr-di-bawah-kepemimpinan-puan-mendapat-apresiasi'],['https://pbs.twimg.com/media/FdLESTtaIAAQs1t.jpg'],0,0,0,[],[],https://twitter.com/tasyamarcelline/status/1572571346223104000,False,,1,https://pbs.twimg.com/media/FdLESTtaIAAQs1t.jpg,,,,,,,[],,,,
